Month,Day,Time,CloudAmount,NightLength
1,30,12:00,8,58321
1,30,13:00,8,58321
1,30,14:00,8,58321
1,30,15:00,8,58321
1,30,16:00,8,58321
1,30,17:00,8,58321
1,30,18:00,9,58321
1,30,19:00,7,58321
1,30,20:00,7,58321
1,30,21:00,8,58321
1,30,22:00,8,58321
1,30,23:00,8,58321
1,31,0:00,7,58023
1,31,1:00,7,58023
1,31,2:00,8,58023
1,31,3:00,8,58023
1,31,4:00,8,58023
1,31,5:00,8,58023
1,31,6:00,8,58023
1,31,7:00,8,58023
1,31,8:00,8,58023
1,31,9:00,8,58023
1,31,10:00,7,58023
1,31,11:00,7,58023
1,31,12:00,7,58023
1,31,13:00,7,58023
1,31,14:00,7,58023
1,31,15:00,8,58023
1,31,16:00,8,58023
1,31,17:00,7,58023
1,31,18:00,8,58023
1,31,19:00,7,58023
1,31,20:00,7,58023
1,31,21:00,7,58023
1,31,22:00,8,58023
1,31,23:00,7,58023
4,1,0:00,0,38511
4,1,1:00,0,38511
4,1,2:00,0,38511
4,1,3:00,0,38511
4,1,4:00,0,38511
4,1,5:00,0,38511
4,1,6:00,0,38511
4,1,7:00,0,38511
4,1,8:00,0,38511
4,1,9:00,0,38511
4,1,10:00,0,38511
4,1,11:00,5,38511
4,1,12:00,0,38511
4,1,13:00,3,38511
4,1,14:00,1,38511
4,1,15:00,5,38511
4,1,16:00,5,38511
4,1,17:00,0,38511
4,1,18:00,0,38511
4,1,19:00,1,38511
4,1,20:00,0,38511
4,1,21:00,0,38511
4,1,22:00,0,38511
4,1,23:00,0,38511
4,2,0:00,0,38181
4,2,1:00,0,38181
4,2,2:00,0,38181
4,2,3:00,0,38181
4,2,4:00,0,38181
4,2,5:00,0,38181
4,2,6:00,0,38181
4,2,7:00,0,38181
4,2,8:00,0,38181
4,2,9:00,0,38181
4,2,10:00,1,38181
4,2,11:00,1,38181
4,2,12:00,1,38181
4,2,13:00,5,38181
4,2,14:00,1,38181
4,2,15:00,1,38181
4,2,16:00,1,38181
4,2,17:00,0,38181
4,2,18:00,0,38181
4,2,19:00,0,38181
4,2,20:00,0,38181
4,2,21:00,0,38181
4,2,22:00,0,38181
4,2,23:00,0,38181
4,3,0:00,0,37851
4,3,1:00,0,37851
4,3,2:00,0,37851
4,3,3:00,3,37851
4,3,4:00,7,37851
4,3,5:00,5,37851
4,3,6:00,0,37851
4,3,7:00,0,37851
4,3,8:00,0,37851
4,3,9:00,0,37851
4,3,10:00,0,37851
4,3,11:00,0,37851
4,3,12:00,1,37851
4,3,13:00,0,37851
4,3,14:00,0,37851
4,3,15:00,3,37851
4,3,16:00,7,37851
4,3,17:00,0,37851
4,3,18:00,0,37851
